Brand,Model,Variant / Trim,Make Year,Make Month,Registration Year,Car Age (years),Fuel Type,BS Norm,Transmission Type,Transmission Subtype,Kilometres Driven,Number of Previous Owners,Insurance Validity,Insurance Type,RTO,Car Location,Overall Quality Score,Engine Score,Systems Score,Interior Score,Exterior Score,Wear Score,Parts Evaluated,Meter Tampered,Flooded,Core Structure Intact,Next Service Due,Price (INR),Depreciation_Category,Value_Score,Country Of Origin
Maruti Suzuki,Fronx,Alpha 1.0L Turbo MT,2024,Apr,2024,2,Petrol,,Manual,Regular,12000,1st Owner,Dec-26,Comprehensive,TS07,"Uppal, Hyderabad",9.6,9.9,9.9,9.8,9.2,9.2,1573,No,No,Yes,"12 months or 10,000 km",801600,Low,8.3,Japan/India
Hyundai,Creta,SX 1.6 AT CRDi,2019,Nov,2019,7,Diesel,BSIV,Automatic,Torque Convertor,92000,1st Owner,Feb-27,Comprehensive,TS07,"Kukatpally, Hyderabad",8.48,9.5,8.9,8.3,7.7,8,1432,No,No,Yes,"12 months or 10,000 km",800800,Very High,7.5,South Korea
Kia,Seltos,HTX 1.5,2020,Aug,2020,5,Petrol,BSVI,Manual,Regular,46000,1st Owner,Sep-28,Comprehensive,TS07,"Kukatpally, Hyderabad",8.94,9.8,9.6,8.6,8.4,8.3,1573,No,No,Yes,No immediate servicing required,820800,High,7.7,South Korea
Kia,Seltos,GTX Plus 1.4,2023,Jan,2023,2,Petrol,BSVI,Manual,Regular,49000,1st Owner,Apr-27,Third Party,TS07,"Uppal, Hyderabad",9.04,9.8,9.7,9.1,8.4,8.2,1573,No,No,Yes,"12 months or 10,000 km",1177600,Medium,6.6,South Korea
Volkswagen,Taigun,Highline 1.0 TSI MT,2022,Feb,2022,3,Petrol,BSVI,Manual,Regular,64000,1st Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",9.1,9.8,9.6,9.2,8.5,8.4,1573,No,No,Yes,"12 months or 15,000 km",763200,High,6.6,Germany
Kia,Seltos,GTX DCT 1.4 Dual Tone,2019,Aug,2019,6,Petrol,BSIV,Automatic,DCT,37000,1st Owner,Apr-27,Third Party,TS07,"Uppal, Hyderabad",8.84,9.9,9.6,8.7,8.1,7.9,1452,No,No,Yes,"12 months or 10,000 km",912000,High,7.8,South Korea
Hyundai,Creta,SX 1.6 (O) Petrol,2018,May,2018,7,Petrol,BSIV,Manual,Regular,48000,1st Owner,Apr-27,Third Party,TS12,"Kukatpally, Hyderabad",8.98,9.8,9.7,8.8,8.4,8.2,1573,No,No,Yes,"12 months or 10,000 km",770400,High,7.6,South Korea
Ford,EcoSport,Titanium 1.5 TDCi,2015,Mar,2015,10,Diesel,BSIV,Manual,Regular,146000,1st Owner,Mar-27,Comprehensive,TS08,"Uppal, Hyderabad",8.5,9.4,9,8,7.7,8.4,1576,No,No,Yes,"12 months or 10,000 km",382400,Very High,7.2,USA
Mahindra,XUV,300 W8 (O) 1.5 Diesel,2022,Jul,2022,3,Diesel,BSVI,Manual,Regular,47000,1st Owner,Feb-27,Comprehensive,AP39,"Kukatpally, Hyderabad",8.96,9.8,8.8,8.9,8.8,8.5,1576,No,No,Yes,"12 months or 10,000 km",824800,Medium,7.5,India
Kia,Seltos,HTX 1.5 Diesel,2022,Apr,2022,3,Diesel,BSVI,Manual,Regular,99000,1st Owner,Apr-27,Third Party,TS04,"Kukatpally, Hyderabad",8.76,9.4,9.1,8.3,8.6,8.4,1576,No,No,Yes,No immediate servicing required,951710,High,6.4,South Korea
Maruti Suzuki,Grand,Vitara Alpha Smart Hybrid,2023,Oct,2023,3,Petrol,BSVI,Manual,Regular,94000,1st Owner,Apr-27,Third Party,TS15,"Kukatpally, Hyderabad",8.9,9.7,9.4,8.9,8.2,8.3,1573,No,No,Yes,No immediate servicing required,922635,High,6.5,Japan/India
Renault,Duster,110 PS RXZ 4X2 MT Diesel,2018,Oct,2018,7,Diesel,,Manual,Regular,86000,1st Owner,Nov-26,Comprehensive,TS08,"Uppal, Hyderabad",8.78,9.6,9.2,8.3,8.6,8.2,1576,No,No,Yes,"12 months or 10,000 km",527200,Very High,7.4,France
Mahindra,Thar,Roxx AX7 L Petrol AT 2WD,2025,Mar,2025,0,Petrol,,Automatic,Torque Convertor,5000,1st Owner,Apr-27,Third Party,TG07,"Kukatpally, Hyderabad",9.82,10,9.9,9.9,9.8,9.5,1452,No,No,Yes,"12 months or 10,000 km",1709522,Low,8.2,India
Mahindra,XUV700,AX 7 Diesel AT Luxury Pack 7 STR,2022,May,2022,3,Diesel,BSVI,Automatic,Torque Convertor,44000,1st Owner,Apr-27,Third Party,TS10,"Kukatpally, Hyderabad",9.26,9.8,9.7,9.2,8.8,8.8,1432,No,No,Yes,No immediate servicing required,1662322,Medium,7.4,India
Renault,Kiger,RXZ 1.0 Turbo MT Dual Tone,2022,Jan,2022,3,Petrol,BSVI,Manual,Regular,45000,1st Owner,Apr-27,Third Party,TS07,"Uppal, Hyderabad",9.22,9.8,9.7,9.1,9.2,8.3,1573,No,No,Yes,No immediate servicing required,541600,Medium,7.1,France
Maruti Suzuki,Fronx,Alpha 1.0L Turbo 6 AT,2025,May,2025,1,Petrol,,Automatic,Torque Convertor,22000,1st Owner,Nov-26,Comprehensive,TG07,"Kukatpally, Hyderabad",9.58,9.9,9.7,9.8,9.6,8.9,1452,No,No,Yes,"12 months or 10,000 km",452,Low,7.6,Japan/India
Ford,EcoSport,Trend+ 1.5L TDCi,2017,May,2017,8,Diesel,BSIV,Manual,Regular,128000,2nd Owner,Apr-27,Third Party,TS08,"Hafeezpet, Hyderabad",8.58,9.5,9,8.1,7.9,8.4,1576,No,No,Yes,"12 months or 10,000 km",423200,Very High,5.9,USA
Renault,Captur,RXL Diesel,2018,Nov,2018,8,Diesel,BSIV,Manual,Regular,95000,1st Owner,Apr-27,Third Party,AP37,"Kukatpally, Hyderabad",8.52,9.3,9.3,7.5,8.1,8.4,1576,No,No,Yes,No immediate servicing required,454500,Very High,7,France
Kia,Seltos,HTX Plus AT 1.5 Diesel,2020,Jan,2020,5,Diesel,,Automatic,Torque Convertor,112000,1st Owner,Apr-27,Third Party,TS12,"Hafeezpet, Hyderabad",8.22,9.5,8.9,7.2,7.6,7.9,1432,No,No,Yes,No immediate servicing required,848800,Very High,6.5,South Korea
Kia,Seltos,GTX Plus 1.5 Turbo Petrol DCT,2023,Sep,2023,2,Petrol,,Automatic,DCT,37000,1st Owner,Sep-26,Comprehensive,TS09,"Kukatpally, Hyderabad",9.32,9.9,9.7,9.5,9,8.5,1452,No,No,Yes,"12 months or 10,000 km",1343200,Medium,7.5,South Korea
Kia,Sonet,HTK Plus 1.5,2023,Feb,2023,2,Diesel,BSVI,Manual,Regular,57000,1st Owner,Apr-27,Third Party,TS08,"Hafeezpet, Hyderabad",8.96,9.7,8.8,9.1,9.1,8.1,1576,No,No,Yes,"12 months or 10,000 km",759200,Medium,6.5,South Korea
Tata,Punch,Creative Flagship Dual Tone MT,2024,Dec,2024,2,Petrol,,Manual,Regular,32000,1st Owner,Dec-26,Comprehensive,TS07,"Uppal, Hyderabad",9.42,9.9,9.8,9.5,9,8.9,1573,No,No,Yes,"12 months or 15,000 km",654400,Medium,7.3,India
MG Motors,Hector,Sharp Hybrid 1.5 Petrol,2020,Oct,2020,5,Hybrid,BSVI,Manual,Regular,80000,2nd Owner,Apr-27,Third Party,AP39,"Kukatpally, Hyderabad",8.86,9.7,9.5,8.2,8.8,8.1,1566,No,No,Yes,No immediate servicing required,767200,High,6,China/UK
Honda,Elevate,VX MT,2023,Sep,2023,2,Petrol,BSVI,Manual,Regular,40000,1st Owner,Sep-26,Comprehensive,AP40,"Hafeezpet, Hyderabad",9.2,9.8,9.7,9.2,9.1,8.2,1573,No,No,Yes,No immediate servicing required,892800,Medium,7.2,Japan
Maruti Suzuki,Brezza,ZXI AT,2022,Jul,2022,3,Petrol,BSVI,Automatic,Torque Convertor,47000,1st Owner,Apr-27,Third Party,TS08,"Kukatpally, Hyderabad",8.94,9.8,9.7,8.6,8.7,7.9,1452,No,No,Yes,"12 months or 10,000 km",825600,Medium,7.2,Japan/India
Volkswagen,Taigun,Highline 1.0 TSI MT,2023,Jul,2023,2,Petrol,BSVI,Manual,Regular,18000,1st Owner,Apr-27,Third Party,TS03,"Uppal, Hyderabad",9.58,9.9,9.9,9.7,9.2,9.2,1573,No,No,Yes,"12 months or 15,000 km",904776,Low,7.5,Germany
Maruti Suzuki,Brezza,ZXi Plus,2023,Feb,2023,2,Petrol,BSVI,Manual,Regular,71000,1st Owner,Apr-27,Third Party,TS07,"Uppal, Hyderabad",9.04,9.7,9.5,9.1,8.6,8.3,1573,No,No,Yes,"12 months or 10,000 km",817600,Medium,6.6,Japan/India
Skoda,Kushaq,Style 1.5L TSI DSG,2022,Jun,2022,3,Petrol,BSIV,Automatic,DSG,102000,2nd Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",8.86,9.6,9.2,8.6,8.6,8.3,1452,No,No,Yes,No immediate servicing required,945564,High,6.3,Czech Republic
Renault,Kiger,RXZ Turbo CVT Dual Tone,2022,Jun,2022,3,Petrol,BSVI,Automatic,CVT,29000,1st Owner,Apr-27,Third Party,TS10,"Uppal, Hyderabad",9.22,9.8,9.7,9.2,8.9,8.5,1452,No,No,Yes,No immediate servicing required,649600,Medium,7.7,France
Maruti Suzuki,Brezza,ZXi Plus,2022,Jun,2022,3,Petrol,BSVI,Manual,Regular,55000,2nd Owner,Oct-26,Comprehensive,TS35,"Hafeezpet, Hyderabad",9.06,9.8,9.6,9,8.6,8.3,1573,No,No,Yes,No immediate servicing required,740000,Medium,6.6,Japan/India
Mahindra,XUV,300 W8 (O) 1.2 Petrol,2023,Jul,2023,2,Petrol,BSVI,Manual,Regular,28000,1st Owner,Apr-27,Third Party,AP40,"Hafeezpet, Hyderabad",9.4,9.9,9.8,9.1,9.2,9,1573,No,No,Yes,No immediate servicing required,798400,Low,7.1,India
MG Motors,Hector,Plus Sharp 1.5 Petrol Turbo CVT 6-STR,2022,Aug,2022,3,Petrol,BSIV,Automatic,DCT,39000,1st Owner,Sep-26,Comprehensive,TS08,"Kukatpally, Hyderabad",9.26,9.8,9.7,9.2,9.1,8.5,1452,No,No,Yes,No immediate servicing required,1241600,Medium,7.9,China/UK
Mahindra,KUV100,NXT K2 6 STR,2018,Jun,2018,7,Petrol,BSIV,Manual,Regular,36000,1st Owner,Apr-27,Third Party,TS12,"Kukatpally, Hyderabad",8.72,9.7,9.3,7.8,8.6,8.2,1573,No,No,Yes,"12 months or 10,000 km",287200,High,7.4,India
Tata,Nexon,XZA Plus (S),2021,Jan,2021,4,Petrol,BSVI,Automatic,AMT,63000,1st Owner,Jan-27,Comprehensive,TS08,"Uppal, Hyderabad",8.78,9.5,9,8.6,8.7,8.1,1452,No,No,Yes,"12 months or 15,000 km",670400,High,7.6,India
Hyundai,Creta,SX 1.6 Petrol,2018,Nov,2018,7,Petrol,BSIV,Manual,Regular,49000,2nd Owner,Nov-26,Comprehensive,TS07,"Uppal, Hyderabad",9.1,9.8,9.6,9,8.5,8.6,1573,No,No,Yes,"12 months or 10,000 km",660800,High,7.6,South Korea
Hyundai,Creta,SX 1.6 Petrol,2018,Aug,2018,7,Petrol,BSIV,Manual,Regular,100000,1st Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",8.9,9.6,9.3,8.6,8.5,8.5,1573,No,No,Yes,"12 months or 10,000 km",612000,Very High,6.9,South Korea
Tata,Nexon,XZA Plus (O) Diesel,2022,Mar,2022,3,Diesel,BSVI,Automatic,AMT,32000,1st Owner,Apr-27,Third Party,TS08,"Uppal, Hyderabad",9.2,9.9,9.7,9.3,8.6,8.5,1432,No,No,Yes,No immediate servicing required,886215,Medium,7.7,India
Maruti Suzuki,Vitara,Brezza ZXi Plus AT SHVS,2020,Feb,2020,5,Petrol,,Automatic,Torque Convertor,68000,1st Owner,Apr-27,Third Party,TS28,"Kukatpally, Hyderabad",8.68,9.5,9.4,8.3,8.1,8.1,1452,No,No,Yes,"12 months or 10,000 km",661600,High,7.1,Japan/India
Renault,Kiger,RXZ AMT Dual Tone,2021,Feb,2021,4,Petrol,BSVI,Automatic,AMT,21000,1st Owner,Sep-26,Comprehensive,AP39,"Kukatpally, Hyderabad",9.24,9.8,9.5,9.1,8.9,8.9,1452,No,No,Yes,"12 months or 10,000 km",496800,Medium,8.5,France
Maruti Suzuki,Vitara,Brezza VXi AT SHVS,2021,Jun,2021,4,Petrol,BSVI,Automatic,Torque Convertor,37000,1st Owner,Apr-27,Third Party,TS10,"Uppal, Hyderabad",8.92,9.8,9.7,8.7,8.3,8.1,1452,No,No,Yes,"12 months or 10,000 km",666400,Medium,7.5,Japan/India
Maruti Suzuki,Vitara,Brezza ZXi Plus,2022,Mar,2022,3,Petrol,BSVI,Manual,Regular,41000,1st Owner,Mar-27,Comprehensive,TS08,"Uppal, Hyderabad",9.24,9.8,9.7,9,8.8,8.9,1573,No,No,Yes,"12 months or 10,000 km",707200,Medium,7.6,Japan/India
Kia,Sonet,HTX 1.0 DCT,2023,Mar,2023,2,Petrol,,Automatic,DCT,50000,1st Owner,Apr-27,Third Party,TS08,"Kukatpally, Hyderabad",9.06,9.6,9.5,9.3,8.5,8.4,1452,No,No,Yes,"12 months or 10,000 km",781600,Medium,6.9,South Korea
Kia,Seltos,GTX Plus DCT 1.4,2020,Jan,2020,5,Petrol,BSVI,Automatic,DCT,89000,2nd Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",8.92,9.7,9.1,8.7,8.7,8.4,1452,No,No,Yes,No immediate servicing required,829600,High,6.3,South Korea
Nissan,Magnite,XV Premium Turbo CVT,2022,Feb,2022,3,Petrol,BSVI,Automatic,CVT,54000,1st Owner,Apr-27,Third Party,TS10,"Kukatpally, Hyderabad",8.98,9.8,9.5,8.8,8.8,8,1452,No,No,Yes,No immediate servicing required,611200,Medium,6.9,Japan
Hyundai,Creta,SX 1.5 Petrol IVT,2022,Aug,2022,3,Petrol,BSVI,Automatic,CVT,93000,1st Owner,Apr-27,Third Party,TS08,"Uppal, Hyderabad",8.98,9.7,9.4,8.9,8.7,8.2,1452,No,No,Yes,No immediate servicing required,963200,High,6.8,South Korea
Hyundai,Venue,SX (O) 1.0 Turbo DCT,2023,Jun,2023,2,Petrol,BSVI,Automatic,DCT,20000,1st Owner,Apr-27,Third Party,AP39,"Kukatpally, Hyderabad",9.54,9.9,9.9,9.7,9.5,8.7,1452,No,No,Yes,"12 months or 10,000 km",919177,Low,7.8,South Korea
Mahindra,XUV700,AX 7 Diesel MT Luxury Pack 7 STR,2022,May,2022,3,Diesel,BSVI,Manual,Regular,49000,1st Owner,Jul-26,Comprehensive,TS10,"Kukatpally, Hyderabad",8.78,9.8,9.7,8.3,8.4,7.7,1576,No,No,Yes,"12 months or 10,000 km",1581600,Medium,7,India
Mahindra,XUV700,AX 7 Luxury Pack Diesel AT 7 STR,2023,Sep,2023,2,Diesel,,Automatic,Torque Convertor,98000,1st Owner,Apr-27,Third Party,TS15,"Kukatpally, Hyderabad",8.72,9.5,9.4,8.3,8.4,8,1432,No,No,Yes,No immediate servicing required,1603200,High,6.7,India
Nissan,Magnite,XV Premium Turbo CVT,2023,Aug,2023,2,Petrol,BSIV,Automatic,CVT,37000,1st Owner,Nov-26,Comprehensive,TS08,"Uppal, Hyderabad",9.46,9.9,9.7,9.6,9.6,8.5,1452,No,No,Yes,No immediate servicing required,689600,Medium,7.6,Japan
Hyundai,Creta,SX (O) 1.4 Turbo 7 DCT,2020,Sep,2020,5,Petrol,,Automatic,DCT,107000,1st Owner,Apr-27,Third Party,TS13,"Kukatpally, Hyderabad",8.52,9.6,9.2,8,8.3,7.5,1452,No,No,Yes,No immediate servicing required,893601,Very High,6.6,South Korea
Mahindra,XUV700,AX 5 Petrol AT 5 STR,2022,Mar,2022,3,Petrol,BSVI,Automatic,Torque Convertor,113000,1st Owner,Apr-27,Third Party,AP39,"Kukatpally, Hyderabad",8.78,9.6,9.1,8.5,8.5,8.2,1452,No,No,Yes,No immediate servicing required,1187200,High,6.8,India
Hyundai,Creta,SX (O) 1.4 Turbo 7 DCT,2023,Dec,2023,3,Petrol,BSVI,Automatic,DCT,43000,1st Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",9.08,9.8,9.6,8.8,8.9,8.3,1452,No,No,Yes,"12 months or 10,000 km",1177600,Medium,7.3,South Korea
Maruti Suzuki,S-Cross,Zeta 1.3,2018,Jul,2018,7,Diesel,BSIV,Manual,Regular,66000,1st Owner,Apr-27,Third Party,TS12,"Uppal, Hyderabad",8.88,9.7,9.6,8.9,8.2,8,1576,No,No,Yes,"12 months or 10,000 km",594400,Very High,7.2,Japan/India
Renault,Kiger,RXZ Turbo CVT Dual Tone,2025,Oct,2025,3,Petrol,BSVI,Automatic,CVT,23000,1st Owner,Apr-27,Third Party,TG07,"Hafeezpet, Hyderabad",9.12,9.3,9.6,9.2,9.5,8,1452,No,No,Yes,No immediate servicing required,609600,Medium,7.8,France
Kia,Seltos,HTX 1.5,2020,Aug,2020,5,Petrol,BSVI,Manual,Regular,101000,1st Owner,Oct-26,Comprehensive,AP39,"Uppal, Hyderabad",8.5,9.4,9.3,8,7.6,8.2,1573,No,No,Yes,No immediate servicing required,670400,Very High,6.8,South Korea
Mahindra,XUV,300 W8 (O) 1.2 Petrol,2021,Oct,2021,3,Petrol,BSIV,Manual,Regular,37000,1st Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",9.24,9.9,9.8,9.2,8.4,8.9,1573,No,No,Yes,No immediate servicing required,740000,Medium,7.1,India
Volkswagen,Taigun,Highline 1.0 TSI MT,2022,Jun,2022,3,Petrol,BSVI,Manual,Regular,18000,1st Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",9.5,9.9,9.9,9.4,9.2,9.1,1573,No,No,Yes,No immediate servicing required,832000,Medium,7.8,Germany
Hyundai,Alcazar,Signature (O) 7 Seater 1.5 Diesel AT,2022,Mar,2022,3,Diesel,BSIV,Automatic,Torque Convertor,64000,1st Owner,Apr-27,Third Party,TS11,"Kukatpally, Hyderabad",8.66,9.2,8.7,8.7,8.5,8.2,1432,No,No,Yes,No immediate servicing required,104,High,6.6,South Korea
Volkswagen,Taigun,Highline Plus 1.0 TSI MT,2025,Oct,2025,1,Petrol,,Manual,Regular,11000,1st Owner,Apr-27,Third Party,TG08,"Kukatpally, Hyderabad",9.52,9.9,9.9,9.5,9.1,9.2,1573,No,No,Yes,No immediate servicing required,1068800,Low,7.5,Germany
Maruti Suzuki,Grand,Vitara Alpha Smart Hybrid AllGrip,2023,Oct,2023,3,Petrol,BSVI,Manual,Regular,59000,2nd Owner,Apr-27,Third Party,AP39,"Uppal, Hyderabad",9.22,9.8,9.6,9,9.2,8.5,1573,No,No,Yes,No immediate servicing required,988000,Medium,6.2,Japan/India
Hyundai,Alcazar,Platinum 7 STR 1.5 Diesel,2023,May,2023,2,Diesel,,Manual,Regular,25000,1st Owner,Apr-27,Third Party,TS13,"Kukatpally, Hyderabad",9.54,9.9,9.7,9.6,9.5,9,1576,No,No,Yes,No immediate servicing required,1358135,Low,7.2,South Korea
MG Motors,Hector,Sharp 2.0 Diesel,2020,May,2020,5,Diesel,BSVI,Manual,Regular,93000,1st Owner,Apr-27,Third Party,TS02,"Kukatpally, Hyderabad",8.62,9.5,9.1,8.7,8.5,7.3,1576,No,No,Yes,No immediate servicing required,871200,Very High,6.4,China/UK
Hyundai,Creta,SX (O) 1.4 Turbo 7 DCT,2021,Apr,2021,4,Petrol,,Automatic,DCT,54000,1st Owner,Apr-27,Third Party,TS08,"Kukatpally, Hyderabad",8.7,9.8,9.5,8,8.1,8.1,1452,No,No,Yes,"12 months or 10,000 km",1090400,Medium,7.1,South Korea
Hyundai,Creta,1.6 SX Plus Petrol,2016,Mar,2016,9,Petrol,BSIV,Manual,Regular,112000,1st Owner,Apr-27,Third Party,TS09,"Hafeezpet, Hyderabad",8.64,9.6,9.1,7.9,7.7,8.9,1573,No,No,Yes,No immediate servicing required,534400,Very High,6.8,South Korea
Kia,Seltos,GTX Plus 1.4 DCT,2022,Jul,2022,3,Petrol,BSIV,Automatic,DCT,47000,1st Owner,Oct-26,Comprehensive,TS08,"Hafeezpet, Hyderabad",9.14,9.8,9.6,9.3,8.8,8.2,1452,No,No,Yes,No immediate servicing required,1120800,Medium,7.8,South Korea
MG Motors,Hector,Plus Sharp 2.0 Diesel,2021,Oct,2021,5,Diesel,BSVI,Manual,Regular,57000,1st Owner,Dec-26,Comprehensive,AP39,"Kukatpally, Hyderabad",9.18,9.8,9.4,9.2,9,8.5,1576,No,No,Yes,No immediate servicing required,999200,High,7.8,China/UK
Honda,WR-V,VX MT Petrol,2022,Sep,2022,3,Petrol,BSVI,Manual,Regular,21000,1st Owner,Jan-27,Comprehensive,TS08,"Uppal, Hyderabad",9.3,9.9,9.8,9,9,8.8,1573,No,No,Yes,"12 months or 10,000 km",4,Medium,8.2,Japan
Nissan,Magnite,XV Premium Dual Tone,2023,Jan,2023,2,Petrol,BSVI,Manual,Regular,70000,1st Owner,Apr-27,Third Party,AP39,"Uppal, Hyderabad",8.72,9.7,9.3,8.2,8.5,7.9,1573,No,No,Yes,"12 months or 10,000 km",517600,Medium,6.4,Japan
Tata,Punch,Creative Dual Tone AMT,2022,Jan,2022,3,Petrol,BSVI,Automatic,AMT,27000,1st Owner,Apr-27,Third Party,TS08,"Uppal, Hyderabad",9.34,9.8,9.7,9.6,9.3,8.3,1452,No,No,Yes,"12 months or 15,000 km",613600,Medium,7.7,India
Maruti Suzuki,S-Cross,Alpha 1.6,2016,May,2016,9,Diesel,BSIV,Manual,Regular,100000,2nd Owner,Apr-27,Third Party,AP40,"Kukatpally, Hyderabad",8.5,9.5,9.1,7.7,7.8,8.4,1576,No,No,Yes,No immediate servicing required,474400,Very High,6.5,Japan/India
Mahindra,XUV500,W11 AT,2018,May,2018,7,Diesel,BSIV,Automatic,Torque Convertor,102000,1st Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",8.36,9.3,9.2,8.1,7.6,7.6,1432,No,No,Yes,No immediate servicing required,935922,Very High,6.9,India
Renault,Kiger,RXT (O) MT Dual Tone,2023,Mar,2023,2,Petrol,BSVI,Manual,Regular,25000,1st Owner,Nov-26,Comprehensive,TS08,"Kukatpally, Hyderabad",9.54,9.9,9.8,9.3,9.5,9.2,1573,No,No,Yes,"12 months or 10,000 km",502400,Low,7.7,France
Skoda,Kushaq,Ambition 1.0L TSI MT,2023,Jan,2023,2,Petrol,BSVI,Manual,Regular,25000,2nd Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",9.5,9.9,9.8,9.4,9.4,9,1573,No,No,Yes,No immediate servicing required,821600,Low,6.7,Czech Republic
Hyundai,Creta,SX Plus 1.6 Petrol,2017,Sep,2017,8,Petrol,,Manual,Regular,123000,1st Owner,Apr-27,Third Party,TS08,"Kukatpally, Hyderabad",8.54,9.5,9.1,7.6,7.7,8.8,1573,No,No,Yes,No immediate servicing required,543200,Very High,6.7,South Korea
Maruti Suzuki,Brezza,Zxi Plus AT Dual Tone,2023,Jun,2023,2,Petrol,BSVI,Automatic,Torque Convertor,41000,1st Owner,Apr-27,Third Party,AP40,"Uppal, Hyderabad",9.2,9.8,9.6,9.2,9.1,8.3,1452,No,No,Yes,No immediate servicing required,936800,Medium,7,Japan/India
Hyundai,Creta,EX 1.5 Petrol,2023,Sep,2023,2,Petrol,,Manual,Regular,15000,1st Owner,Apr-27,Third Party,TS03,"Kukatpally, Hyderabad",9.6,9.9,9.9,9.5,9.4,9.3,1573,No,No,Yes,"12 months or 10,000 km",901600,Low,7.8,South Korea
Maruti Suzuki,S-Cross,Delta 1.6,2016,Jul,2016,10,Diesel,BSIV,Manual,Regular,131000,2nd Owner,Apr-27,Third Party,TS10,"Uppal, Hyderabad",8.16,9,8.8,7.7,6.9,8.4,1576,No,No,Yes,No immediate servicing required,367200,Very High,6,Japan/India
Ford,EcoSport,Ambiente 1.5 TDCi,2013,Jul,2013,12,Diesel,BSIV,Manual,Regular,117000,1st Owner,Apr-27,Third Party,AP09,"Uppal, Hyderabad",8.54,9.4,8.9,8,7.7,8.7,1576,No,No,Yes,No immediate servicing required,316800,Very High,7,USA
Mahindra,Thar,LX Hard Top Diesel MT 4WD,2024,Feb,2024,1,Diesel,BSIV,Manual,Regular,15000,1st Owner,Feb-27,Comprehensive,TG09,"Kukatpally, Hyderabad",9.68,9.9,9.9,9.7,9.5,9.4,1576,No,No,Yes,"12 months or 10,000 km",1247200,Low,7.8,India
Maruti Suzuki,Grand,Vitara Zeta Plus Intelligent Hybrid eCVT,2024,Feb,2024,1,Hybrid,BSVI,Automatic,CVT,24000,1st Owner,Apr-27,Third Party,AP40,"Hafeezpet, Hyderabad",9.46,9.9,9.7,9.7,9.1,8.9,1424,No,No,Yes,No immediate servicing required,1360766,Low,7.1,Japan/India
Mahindra,Scorpio,N Z8 L Petrol AT 7 STR,2023,Feb,2023,2,Petrol,BSIV,Automatic,Torque Convertor,55000,1st Owner,Apr-27,Third Party,TS08,"Kukatpally, Hyderabad",9.2,9.8,9.6,9.4,9.1,8.1,1452,No,No,Yes,No immediate servicing required,1498400,Medium,7,India
MG Motors,Hector,Plus Sharp Pro 2.0 Turbo Diesel 6 STR,2023,Jan,2023,2,Diesel,BSVI,Manual,Regular,26000,1st Owner,Apr-27,Third Party,AP39,"Kukatpally, Hyderabad",9.52,9.9,9.8,9.6,9.5,8.8,1576,No,No,Yes,No immediate servicing required,9535,Low,7.2,China/UK
Hyundai,Alcazar,Signature (O) 6 STR 1.5 Petrol DCT,2023,Apr,2023,2,Petrol,BSVI,Automatic,DCT,30000,1st Owner,Apr-27,Third Party,AP40,"Kukatpally, Hyderabad",9.34,9.9,9.7,9.4,9.1,8.6,1452,No,No,Yes,No immediate servicing required,1453600,Low,7.4,South Korea
Skoda,Kushaq,Ambition 1.0L TSI AT,2021,Aug,2021,4,Petrol,BSIV,Automatic,Torque Convertor,112000,1st Owner,Apr-27,Third Party,TS09,"Kukatpally, Hyderabad",8.66,9.6,9.2,8.1,8.2,8.2,1452,No,No,Yes,No immediate servicing required,729600,High,6.7,Czech Republic
Mahindra,XUV700,AX 5 Petrol AT 5 STR,2021,Oct,2021,4,Petrol,BSVI,Automatic,Torque Convertor,95000,1st Owner,Nov-26,Comprehensive,AP39,"Kukatpally, Hyderabad",8.96,9.7,9.3,8.5,8.5,8.8,1452,No,No,Yes,No immediate servicing required,1095200,High,7.3,India
Renault,Kiger,RXZ AMT,2022,Jan,2022,3,Petrol,BSVI,Automatic,AMT,89000,1st Owner,Aug-26,Comprehensive,TS07,"Kukatpally, Hyderabad",8.84,9.4,8.9,8.6,8.8,8.5,1452,No,No,Yes,No immediate servicing required,448800,High,7.2,France
Ford,EcoSport,Titanium Plus 1.5L Ti-VCT AT,2021,Jan,2021,4,Petrol,BSVI,Automatic,Torque Convertor,61000,1st Owner,Apr-27,Third Party,AP39,"Uppal, Hyderabad",9.04,9.8,9.6,9,8.9,7.9,1452,No,No,Yes,No immediate servicing required,680800,High,7.3,USA
Kia,Sonet,X Line 1.5 Diesel AT,2023,Jun,2023,2,Diesel,BSVI,Automatic,Torque Convertor,35000,1st Owner,Apr-27,Third Party,TS16,"Hafeezpet, Hyderabad",9.4,9.8,9.8,9.3,9.3,8.8,1432,No,No,Yes,No immediate servicing required,1047200,Medium,7,South Korea
