Brand,Model,Make Year,Car Age (years),Kilometres Driven,km_per_year,Fuel Type,Transmission Type,Transmission Subtype,BS Norm,Number of Previous Owners,Insurance Type,Overall Quality Score,Engine Score,Systems Score,Interior Score,Exterior Score,Wear Score,Composite_Score,Value_Score,Depreciation_Category,Meter Tampered,Flooded,Price (INR)
13,20,2019,6,59000,9833,1,0,4,1,1,0,8.82,9.7,9.2,8.5,8.4,8.3,8.82,7.2,3,0,0,590400
4,5,2024,1,11000,11000,4,0,4,2,1,1,9.56,9.9,9.9,9.5,9.0,9.5,9.56,8.0,1,0,0,932354
10,19,2021,4,28000,7000,4,0,4,2,2,0,9.3,9.9,9.8,9.4,8.7,8.7,9.3,7.2,2,0,0,448800
13,20,2022,4,86000,21500,2,1,6,1,1,0,9.0,9.8,9.5,8.9,8.7,8.350000000000001,9.042,1.6,4,1,1,10784
6,27,2020,5,66000,13200,1,1,5,2,1,1,8.9,9.6,9.5,8.9,8.2,8.3,8.9,7.7,3,0,0,1055200
2,8,2016,10,97000,9700,1,0,4,1,2,0,8.66,9.6,9.2,8.1,8.2,8.2,8.66,6.6,4,0,0,353600
6,28,2020,5,38000,7600,4,1,2,2,1,1,9.1,9.8,9.7,9.0,8.5,8.5,9.1,8.4,3,0,0,749600
2,8,2019,6,106000,17667,1,0,4,1,1,1,8.7,9.6,9.3,8.4,8.2,8.0,8.7,6.9,4,0,0,560000
6,27,2021,4,62000,15500,4,1,2,0,1,0,8.82,9.8,9.4,9.1,8.2,7.6,8.82,7.2,3,0,0,983199
7,15,2021,4,48000,12000,4,1,2,2,2,1,9.2,9.8,9.7,9.3,8.9,8.3,9.2,7.4,2,0,0,1030122
6,27,2020,5,97000,19400,4,0,4,2,2,0,8.68,9.6,9.1,8.4,7.9,8.4,8.68,5.9,4,0,0,779200
2,8,2019,6,58000,9667,4,0,4,1,2,1,8.92,9.8,9.6,8.8,8.2,8.2,8.92,7.2,3,0,0,555200
14,30,2024,2,50000,25000,4,0,4,2,2,1,9.22,9.8,9.7,9.4,8.9,8.3,9.22,6.7,2,0,0,912000
2,8,2016,9,37000,4111,4,0,4,1,1,1,9.24,9.8,9.7,9.2,8.7,8.8,9.24,8.2,3,0,0,447200
13,25,2023,2,19000,9500,1,1,5,2,1,1,9.1,9.5,8.3,9.2,9.6,8.9,9.1,8.1,1,0,0,1549666
9,24,2022,3,24000,8000,4,0,4,2,1,0,9.38,9.9,9.8,9.3,9.1,8.8,9.38,7.4,2,0,0,755200
4,10,2024,1,20000,20000,4,1,0,0,1,1,9.52,9.9,9.9,9.6,9.4,8.8,9.52,7.6,1,0,0,701600
7,15,2020,6,75000,12500,1,0,4,1,1,0,8.64,9.5,9.3,8.6,8.2,7.6,8.64,6.8,3,0,0,901600
9,34,2020,5,67000,13400,4,0,4,2,2,0,8.98,9.8,9.6,9.0,8.3,8.2,8.98,6.5,3,0,0,551200
2,11,2019,7,86000,12286,4,0,4,1,1,1,8.74,9.4,9.3,8.3,8.4,8.3,8.74,7.3,4,0,0,366400
2,8,2018,7,68000,9714,4,1,5,1,2,0,8.76,9.7,9.4,8.6,8.2,7.9,8.76,7.0,4,0,0,532800
4,5,2018,7,113000,16143,1,0,4,1,1,0,8.5,9.4,8.6,8.1,7.8,8.6,8.5,6.3,4,0,0,698400
8,31,2022,3,70000,23333,1,1,5,2,1,0,9.08,9.7,9.5,9.2,9.2,7.8,9.08,6.9,3,0,0,1035922
6,27,2019,6,40000,6667,4,0,4,1,2,0,9.02,9.8,9.7,8.9,8.6,8.1,9.02,7.1,3,0,0,864800
7,15,2020,5,41000,8200,4,1,2,2,1,0,9.14,9.8,9.7,9.0,9.0,8.2,9.14,7.6,3,0,0,951200
14,30,2022,3,34000,11333,4,0,4,2,1,0,9.44,9.9,9.8,9.4,9.3,8.8,9.44,7.5,2,0,0,923200
13,20,2023,2,24000,12000,4,1,0,0,1,0,9.36,9.9,9.8,9.6,8.7,8.8,9.36,7.4,1,0,0,867964
4,5,2018,7,118000,16857,1,0,4,1,1,0,8.52,9.5,9.2,8.2,7.3,8.4,8.52,6.3,4,0,0,580000
13,20,2018,7,96000,13714,1,0,4,1,1,0,8.24,9.2,8.8,7.4,7.9,7.9,8.24,6.6,4,0,0,452800
4,33,2021,4,43000,10750,1,0,4,2,1,1,8.86,9.8,9.7,8.3,8.4,8.1,8.86,7.7,2,0,0,775200
13,21,2023,2,21000,10500,4,1,0,2,1,0,9.48,9.9,9.8,9.7,9.3,8.7,9.48,7.8,1,0,0,642400
8,39,2024,1,49000,49000,1,0,4,0,1,0,9.26,9.8,9.7,9.5,8.8,8.5,9.26,6.7,2,0,0,1450322
13,14,2021,5,39000,7800,1,1,5,2,1,1,9.1,9.8,9.7,9.1,8.2,8.7,9.1,8.4,3,0,0,960000
12,18,2022,4,51000,12750,4,0,4,2,2,0,9.02,9.8,9.7,8.2,8.7,8.7,9.02,6.5,2,0,0,851200
4,5,2017,8,84000,10500,4,1,5,1,2,0,8.72,9.6,9.3,8.2,8.2,8.3,8.72,6.9,4,0,0,627200
2,8,2018,7,68000,9714,4,1,5,1,1,0,9.02,9.8,9.6,9.0,8.5,8.2,9.02,7.6,4,0,0,565600
10,19,2024,1,25000,25000,4,0,4,2,1,1,9.58,9.9,9.8,9.7,9.5,9.0,9.58,7.3,1,0,0,541600
4,33,2023,2,36000,18000,4,0,4,0,1,0,9.08,9.9,9.8,8.9,8.7,8.1,9.08,6.6,2,0,0,720000
9,2,2022,3,123000,41000,4,0,4,2,1,0,8.62,9.6,9.2,8.0,8.2,8.1,8.62,6.4,3,0,0,712000
13,21,2024,1,19000,19000,4,1,0,0,1,0,9.38,9.9,9.8,9.2,9.2,8.8,9.38,7.0,1,0,0,707200
8,39,2023,3,54000,18000,1,0,4,2,1,1,9.16,9.8,9.6,9.0,9.0,8.4,9.16,7.1,2,0,0,1505600
12,18,2022,4,60000,15000,4,1,2,2,1,1,8.96,9.8,9.6,8.1,9.1,8.2,8.96,7.8,2,0,0,1011200
2,8,2014,11,94000,8545,1,0,4,1,2,0,8.32,9.4,8.9,8.0,7.7,7.6,8.32,6.4,4,0,0,387200
4,5,2020,5,92000,18400,4,1,2,0,1,0,8.88,9.6,9.1,8.9,8.6,8.2,8.88,6.8,4,0,0,884000
4,5,2015,10,104000,10400,4,0,4,0,1,1,8.64,9.6,9.2,7.4,8.2,8.8,8.64,7.6,4,0,0,516000
2,8,2019,6,41000,6833,4,0,4,1,1,1,9.22,9.8,9.7,9.3,8.6,8.7,9.22,8.2,3,0,0,557600
4,33,2023,2,55000,27500,4,1,2,2,1,0,9.04,9.7,9.6,9.4,9.0,7.5,9.04,6.9,2,0,0,839176
4,5,2016,9,107000,11889,1,0,4,1,2,1,8.28,9.4,8.9,7.1,7.4,8.6,8.28,6.9,4,0,0,607200
4,0,2023,3,82000,27333,1,0,4,2,1,0,9.12,9.7,9.5,9.0,8.5,8.9,9.12,6.6,3,0,0,1171964
9,2,2023,2,36000,18000,4,0,4,1,1,0,9.48,9.9,9.8,9.5,9.4,8.8,9.48,6.8,2,0,0,839200
8,31,2023,3,67000,22333,1,1,5,2,1,0,8.8,9.5,9.2,8.4,9.0,7.9,8.8,6.7,3,0,0,1015922
13,21,2025,1,10000,10000,4,1,0,0,1,0,9.4,9.9,9.9,8.1,9.8,9.3,9.4,7.7,1,0,0,680000
3,1,2018,7,79000,11286,1,0,4,1,2,0,8.32,9.6,9.2,8.3,6.3,8.2,8.32,6.5,4,0,0,530400
4,5,2019,6,76000,12667,4,0,4,1,1,0,8.94,9.7,9.5,8.7,8.4,8.4,8.94,6.9,3,0,0,668000
9,2,2023,2,36000,18000,4,0,4,2,1,0,9.34,9.9,9.8,9.4,8.9,8.7,9.34,6.7,2,0,0,825600
13,20,2018,7,116000,16571,4,1,0,1,1,0,8.5,9.4,9.1,8.6,8.2,7.2,8.5,6.6,4,0,0,486400
13,6,2025,1,19000,19000,1,0,4,2,1,0,9.56,9.9,9.9,9.4,9.3,9.3,9.56,6.8,1,0,0,1181600
